รหัส,บริเวณลุ่มแม่น้ำ,อำเภอ,ตำบล,หน่วยงานเจ้าของ,ประเภทอุปกรณ์,ชื่ออุปกรณ์,สถานะ,ยี่ห้อ,ทะเบียนรถ,ตำแหน่ง LAT,ตำแหน่ง LONG,วันที่ใช้งาน,เบอร์ติดต่อ,หมายเหตุ
FP-001,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ,พร้อมปฏิบัติงาน,อีซูซุ,81-8180,19.92889724,99.86702973,6/3/2026,053-175313,
FP-002,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตัก,พร้อมปฏิบัติงาน,LIUGONG,ตฒ-2295,19.92889724,99.86702973,30/4/2026,053-175313,
FP-003,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ,พร้อมปฏิบัติงาน,อีซูซุ,81-8178,19.92889724,99.86702973,30/4/2026,053-175313,
FP-004,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักตีนตะขาบ,พร้อมปฏิบัติงาน,โคมัตสุ PC120,ต-1001,19.92889724,99.86702973,30/4/2026,053-175313,
FP-005,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักตีนตะขาบ,พร้อมปฏิบัติงาน,โคมัตสุ,ตค-741,19.92889724,99.86702973,30/4/2026,053-175313,
FP-006,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถยนต์ 4 ล้อ,รถตรวจการ,พร้อมปฏิบัติงาน,ฟรอด์,กร 7568,19.92889724,99.86702973,30/4/2026,0948687011,
FP-007,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถขนย้าย,รถหัวลาก,ไม่ทราบสถานะ,UD TRUCK,82-2218,19.92889724,99.86702973,30/4/2026,053-175313,
FP-008,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย,พร้อมปฏิบัติงาน,มิตซูบิชิ,80-9245,19.92889724,99.86702973,30/4/2026,053-175313,
FP-009,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,บม-9980,19.92889724,99.86702973,30/4/2026,053-175313,
FP-010,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักหน้าขุดหลัง,พร้อมปฏิบัติงาน,โคมัตสุ,ตค-742,19.92889724,99.86702973,30/4/2026,053-175313,
FP-011,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถโดยสารขนาดใหญ่,รถโดยสารขนาดใหญ่,พร้อมปฏิบัติงาน,อีซูซุ,40-0163,19.92889724,99.86702973,30/4/2026,061 2504570,
FP-012,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตักหน้าขุดหลัง,พร้อมปฏิบัติงาน,เจ ซี บี,ตค-7567,19.92889724,99.86702973,30/4/2026,053-175313,
FP-013,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,รถตัก,พร้อมปฏิบัติงาน,POWERPLUS,ตฒ-760,19.92889724,99.86702973,30/4/2026,053-175313,
FP-014,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ,พร้อมปฏิบัติงาน,มิตซูบิชิ,80-9242,19.92889724,99.86702973,30/4/2026,053-175313,
FP-015,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถยนต์ 4 ล้อ,รถตรวจการ,พร้อมปฏิบัติงาน,มาสด้า,กฉ 54,19.92889724,99.86702973,30/4/2026,0948687011,
FP-016,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถโดยสารขนาดใหญ่,"รถโดยสารขนาดเล็ก (รถตู้ขนาด 9,11,12,15 ที่นั่ง )",พร้อมปฏิบัติงาน,HINO,81-6256,19.92889724,99.86702973,30/4/2026,0948687011,
FP-017,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถยนต์ 4 ล้อ,รถตรวจการ,พร้อมปฏิบัติงาน,โตโยต้า,ผค-109,19.92889724,99.86702973,30/4/2026,0876585158,
FP-018,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,โตโยต้า,กธ 5028,19.92889724,99.86702973,30/4/2026,0948687011,
FP-019,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
-",พร้อมปฏิบัติงาน,HINO,81-6257,19.92889724,99.86702973,30/4/2026,061 2504570,
FP-020,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 10,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,81-8932,19.92889724,99.86702973,30/4/2026,053-175313,
FP-021,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถแทรคเตอร์ล้อยาง,"รถแทรคเตอร์ล้อยาง
รถแทรคเตอร์ล้อยาง",พร้อมปฏิบัติงาน,นิวฮอนแลนด์,ตค-1335,19.92889724,99.86702973,30/4/2026,053-175313,
FP-022,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถแทรคเตอร์ล้อยาง,"รถแทรคเตอร์ล้อยาง
-",พร้อมปฏิบัติงาน,โฟร์ตอน,ตค-7593,19.92889724,99.86702973,30/4/2026,053-175313,
FP-023,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,"รถตัก
รถตักตีนตะขาบ",พร้อมปฏิบัติงาน,DOOSAN,ตค-7709,19.92889724,99.86702973,30/4/2026,053-175313,
FP-024,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถขนย้าย,"รถขนย้าย
รถหัวลาก",พร้อมปฏิบัติงาน,นิสสัน,81-9583,19.92889724,99.86702973,30/4/2026,053-175313,
FP-025,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,"รถบรรทุกเทท้าย
-",พร้อมปฏิบัติงาน,อีซูซุ,81-8179,19.92889724,99.86702973,30/4/2026,053-175313,
FP-026,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกเทท้าย,"รถบรรทุกเทท้าย
รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ",พร้อมปฏิบัติงาน,อีซูซุ,81-8177,19.92889724,99.86702973,30/4/2026,053-175313,
FP-027,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 10,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,บม-9981,19.92889724,99.86702973,30/4/2026,053-175313,
FP-028,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถตัก,"รถตัก
รถตักตีนตะขาบ",พร้อมปฏิบัติงาน,แคตเตอร์ฟิลล่าร์,ต-1100,19.92889724,99.86702973,30/4/2026,053-175313,
FP-029,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,มิตซูบิชิ,80-9250,19.92889724,99.86702973,30/4/2026,053-175313,
FP-030,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ริมกก,อบจ.เชียงราย,รถแทรคเตอร์ล้อยาง,"รถแทรคเตอร์ล้อยาง
รถแทรคเตอร์ล้อยาง",พร้อมปฏิบัติงาน,ฟอร์ด,ต-0839,19.92889724,99.86702973,30/4/2026,053-175313,
FP-031,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทน.เชียงราย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,ISUZU,82-0565,19.909382,99.82666,30/4/2026,094-6329916,
FP-032,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทน.เชียงราย,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถดับเพลิงอาคาร",พร้อมปฏิบัติงาน,MITSUBISHI,ผ-2117,19.909382,99.82666,30/4/2026,063-7604629,
FP-033,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทน.เชียงราย,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถดับเพลิงอาคาร",พร้อมปฏิบัติงาน,HINO,บษ 7470 ชร,19.909382,99.82666,30/4/2026,0946389695,
FP-034,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทน.เชียงราย,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถดับเพลิงอาคาร",พร้อมปฏิบัติงาน,MITSUBISHI,ผ-2118,19.909382,99.82666,30/4/2026,089-7598728,
FP-035,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทน.เชียงราย,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถดับเพลิงอาคาร",พร้อมปฏิบัติงาน,MITSUBISHI,ป-5700,19.909382,99.82666,30/4/2026,081-6714197,
FP-036,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทน.เชียงราย,รถยนต์กู้ภัย พร้อมเครื่องมือ,"รถยนต์กู้ภัย พร้อมเครื่องมือ
รถยนต์กู้ภัยเอนกประสงค์พร้อมอุปกรณ์ (รถกู้ภัยขนาดกลาง)",พร้อมปฏิบัติงาน,NISSIN,ภ-1646,19.909382,99.82666,30/4/2026,081-3666972,
FP-037,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทต.บ้านดู่,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,มิตซูบิชิ,บพ8572,19.977144,99.831819,30/4/2026,0872425388,
FP-038,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทต.บ้านดู่,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 5,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,บม9665,19.977144,99.831819,30/4/2026,080-6724244,
FP-039,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทต.บ้านดู่,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
-",พร้อมปฏิบัติงาน,อีซูซุ,ผก7434,19.977144,99.831819,30/4/2026,0992852800,
FP-040,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,ทต.นางแล,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
-",พร้อมปฏิบัติงาน,Hino,บม-9008,20.025462,99.871694,30/4/2026,-,
FP-041,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 นางแล,ทต.นางแล,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,TOYOTA,บย 3474,20.025462,99.871694,30/4/2026,-,
FP-042,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 นางแล,ทต.นางแล,รถจักรยานยนต์,"รถจักรยานยนต์
รถจักรยานยนต์",พร้อมปฏิบัติงาน,SUZUKI,1กฆ5343,20.025462,99.871694,30/4/2026,-,
FP-043,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 นางแล,ทต.นางแล,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
-",พร้อมปฏิบัติงาน,TOYOTA,กธ 4765,20.025462,99.871694,30/4/2026,-,
FP-044,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ยาว,ทต.แม่ยาว,รถจักรยานยนต์,"รถจักรยานยนต์
รถจักรยานยนต์",พร้อมปฏิบัติงาน,Honda,ขงษ 228,19.9341,99.759914,30/4/2026,-,
FP-045,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ยาว,ทต.แม่ยาว,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถบรรทุกน้ำช่วยดับเพลิง",พร้อมปฏิบัติงาน,isuzu,ผจ. 5402,19.9341,99.759914,30/4/2026,053737132,
FP-046,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ยาว,ทต.แม่ยาว,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,MAZDA FIGHTER B ๒๙๐๐,บน 2158,19.9341,99.759914,30/4/2026,-,
FP-047,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ยาว,ทต.แม่ยาว,รถจักรยานยนต์,"รถจักรยานยนต์
รถจักรยานยนต์",พร้อมปฏิบัติงาน,KAWASAKI,คนจ 692,19.9341,99.759914,30/4/2026,-,
FP-048,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ยาว,ทต.แม่ยาว,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถบรรทุกน้ำช่วยดับเพลิง",พร้อมปฏิบัติงาน,isuzu,บม.9368,19.9341,99.759914,30/4/2026,053737132,
FP-049,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่กรณ์,ทต.แม่กรณ์,รถไม่ระบุประเภท,"-
-",พร้อมปฏิบัติงาน,TOYOTA,ขง-8984,19.849068,99.732614,30/4/2026,053726368,
FP-050,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่กรณ์,ทต.แม่กรณ์,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,MITSUBISHI,ผก5057,19.849068,99.732614,30/4/2026,053726368,
FP-051,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่กรณ์,ทต.แม่กรณ์,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 5,000 ลิตร",พร้อมปฏิบัติงาน,HINO,บร5329,19.849068,99.732614,30/4/2026,053726368,
FP-052,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่กรณ์,ทต.แม่กรณ์,รถไม่ระบุประเภท,"-
-",พร้อมปฏิบัติงาน,TOYOTA,ขก7494,19.849068,99.732614,30/4/2026,053926368,
FP-053,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยสัก,ทต.ห้วยสัก,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็ก แบบที่นั่งตอนเดียว",พร้อมปฏิบัติงาน,Masda,ชรบพ-7599,19.797846,99.903391,30/4/2026,0956769565,
FP-054,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยสัก,ทต.ห้วยสัก,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 10,000 ลิตร",พร้อมปฏิบัติงาน,Misubishi,ชร81-8943,19.797846,99.903391,30/4/2026,0956769565,
FP-055,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยสัก,ทต.ห้วยสัก,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,ISUZU,ชร82-0056,19.797846,99.903391,30/4/2026,0956769565,
FP-056,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถตัก,"รถตัก
รถตักล้อยาง",พร้อมปฏิบัติงาน,โคมัตสึ,ตค-4851,19.683815,99.926643,30/4/2026,-,
FP-057,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็ก แบบที่นั่ง 2 ตอน",พร้อมปฏิบัติงาน,toyota,กค-8646,19.683815,99.926643,30/4/2026,-,
FP-058,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็ก แบบที่นั่ง 2 ตอน",พร้อมปฏิบัติงาน,mitsubichi,กพ-9361,19.683815,99.926643,30/4/2026,-,
FP-059,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็ก แบบที่นั่งตอนเดียว",พร้อมปฏิบัติงาน,nissan,ป-2807,19.683815,99.926643,30/4/2026,-,
FP-060,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถพยาบาล",พร้อมปฏิบัติงาน,toyota,กร-2447,19.683815,99.926643,30/4/2026,0835719191,
FP-061,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 5,000 ลิตร",พร้อมปฏิบัติงาน,hino,81-2966,19.683815,99.926643,30/4/2026,0835719191,
FP-062,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกเทซ้าย,"รถบรรทุกเทซ้าย
รถบรรทุกเทท้าย ขนาด 6 ตัน 6 ล้อ",พร้อมปฏิบัติงาน,hino,81-8758,19.683815,99.926643,30/4/2026,-,
FP-063,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถตู้เอนกประสงค์",พร้อมปฏิบัติงาน,toyota,นข-7545,19.683815,99.926643,30/4/2026,-,
FP-064,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถยนต์กู้ภัย พร้อมเครื่องมือ,"รถยนต์กู้ภัย พร้อมเครื่องมือ
รถยนต์กู้ภัยเอนกประสงค์พร้อมอุปกรณ์ (รถกู้ภัยขนาดกลาง)",พร้อมปฏิบัติงาน,TOYOTA,กธ-4725,19.683815,99.926643,30/4/2026,-,
FP-065,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยลาน,ทต.ดอยลาน,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็ก แบบที่นั่งตอนเดียว",พร้อมปฏิบัติงาน,toyota,บร-7341,19.683815,99.926643,30/4/2026,0835719191,
FP-066,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ป่าอ้อดอนชัย,ทต.ป่าอ้อดอนชัย,รถไม่ระบุประเภท,"-
-",พร้อมปฏิบัติงาน,โตโยต้า,กย 5663,19.849592,99.769791,30/4/2026,-,
FP-067,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ป่าอ้อดอนชัย,ทต.ป่าอ้อดอนชัย,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
-",พร้อมปฏิบัติงาน,เซฟโลเลท,บย 2253,19.849592,99.769791,30/4/2026,-,
FP-068,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสาย,ทต.ท่าสาย,รถดับเพลิง และอุปกรณ์,"รถดับเพลิง และอุปกรณ์
รถดับเพลิงอาคาร",พร้อมปฏิบัติงาน,IZUZU,บล 9945 ชร,19.851525,99.858441,30/4/2026,-,
FP-069,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสาย,ทต.ท่าสาย,รถยนต์กู้ภัย พร้อมเครื่องมือ,"รถยนต์กู้ภัย พร้อมเครื่องมือ
รถเครื่องช่วยหายใจพร้อมอุปกรณ์",พร้อมปฏิบัติงาน,TOYOTA,กร 927,19.851525,99.858441,30/4/2026,-,
FP-070,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสาย,ทต.ท่าสาย,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,ISUZU,82-3741,19.851525,99.858441,30/4/2026,0848060505,
FP-071,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสาย,ทต.ท่าสาย,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,FORD RANGER,ผต 1158 ชร,19.851525,99.858441,30/4/2026,-,
FP-072,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยฮาง,ทต.ดอยฮาง,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,MAZDA,บร 4781,19.933212,99.754617,30/4/2026,052020640,
FP-073,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยฮาง,ทต.ดอยฮาง,รถแทรคเตอร์ล้อยาง,"รถแทรคเตอร์ล้อยาง
รถแทรคเตอร์ล้อยาง",พร้อมปฏิบัติงาน,นิวฮอล์แลนด์,ตค 9576,19.933212,99.754617,30/4/2026,052020641,
FP-074,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยฮาง,ทต.ดอยฮาง,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 5,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,ผด1433,19.933212,99.754617,30/4/2026,052020641,
FP-075,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ดอยฮาง,ทต.ดอยฮาง,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
-",พร้อมปฏิบัติงาน,โตโยต้า,กย 2701,19.933212,99.754617,30/4/2026,052020641,
FP-076,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสุด,ทต.ท่าสุด,รถจักรยานยนต์,"รถจักรยานยนต์
รถจักรยานยนต์",พร้อมปฏิบัติงาน,้Honda,1กร4995,20.073611,99.882686,30/4/2026,053787039,
FP-077,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสุด,ทต.ท่าสุด,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,Mazda,กง 519,20.073611,99.882686,30/4/2026,053787101,
FP-078,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสุด,ทต.ท่าสุด,รถยนต์กู้ภัย พร้อมเครื่องมือ,"รถยนต์กู้ภัย พร้อมเครื่องมือ
รถยนต์กู้ภัยเอนกประสงค์พร้อมอุปกรณ์ (รถกู้ภัยขนาดกลาง)",พร้อมปฏิบัติงาน,Benz,82-2362,20.073611,99.882686,30/4/2026,-,
FP-079,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ท่าสุด,ทต.ท่าสุด,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,Mitsubishi,บม 8756,20.073611,99.882686,30/4/2026,-,
FP-080,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,อบต.รอบเวียง,รถจักรยานยนต์,"รถจักรยานยนต์
รถจักรยานยนต์",พร้อมปฏิบัติงาน,ฮอนดา,1กข 7828,19.914598,99.87768,30/4/2026,053-742687,
FP-081,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,อบต.รอบเวียง,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,นิสสัน,กอ 2214,19.914598,99.87768,30/4/2026,053-742687,
FP-082,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,อบต.รอบเวียง,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำ ขนาด 6,000 ลิตร",พร้อมปฏิบัติงาน,อีซูซุ,82-3047,19.914598,99.87768,30/4/2026,053-742687,
FP-083,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 รอบเวียง,อบต.รอบเวียง,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,mazda,บร-1069 ชร,19.914598,99.87768,30/4/2026,0979603659,
FP-084,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ข้าวต้ม,อบต.แม่ข้าวต้ม,รถบรรทุกน้ำ,"รถบรรทุกน้ำ
รถบรรทุกน้ำมันเชื้อเพลิง ขนาด 6,000 ลิตร 6 ตัน 6 ล้อ",พร้อมปฏิบัติงาน,NISSAN,81-3486,20.009366,99.912715,30/4/2026,0979700442,
FP-085,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 แม่ข้าวต้ม,อบต.แม่ข้าวต้ม,รถยนต์ 4 ล้อ,"รถยนต์ 4 ล้อ
รถตรวจการ",พร้อมปฏิบัติงาน,Toyota,กม.2830,20.009366,99.912715,30/4/2026,0979700442,
FP-086,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยชมภู,อบต.ห้วยชมภู,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็กขับเคลื่อน 4 ล้อ แบบที่นั่ง 2 ตอน (4x4)",พร้อมปฏิบัติงาน,Toyota,กย 8487 ชร,19.899575,99.622534,30/4/2026,053601454,
FP-087,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยชมภู,อบต.ห้วยชมภู,รถจักรยานยนต์,"รถจักรยานยนต์
รถจักรยานยนต์",พร้อมปฏิบัติงาน,Honda,คคก 595 ชร,19.899575,99.622534,30/4/2026,053601454,
FP-088,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยชมภู,อบต.ห้วยชมภู,รถบรรทุกขนาดเล็ก,"รถบรรทุกขนาดเล็ก
รถบรรทุกขนาดเล็กขับเคลื่อน 4 ล้อ แบบที่นั่งตอนครึ่ง (4x4)",พร้อมปฏิบัติงาน,Mitsubishi,บม 6681 ชร,19.899575,99.622534,30/4/2026,053601454,
FP-089,น้ำแม่กกตอนต้น,เมืองเชียงราย,01 ห้วยชมภู,อบต.ห้วยชมภู,รถตัก,"รถตัก
รถตักหน้าขุดหลัง",พร้อมปฏิบัติงาน,JCB,ตค 756 ชร,19.899575,99.622534,30/4/2026,053601454,
